id_inst;nombre_inst;id_depa;nombre_depa;id_muni;nombre_muni;telefono
1834;UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -;Bolívar;Bolívar;13001;Cartagena de Indias;6562403
1835;UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES - UDCA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;6684700
2102;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3443700
2104;ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;2202790
2106;DIRECCION NACIONAL DE ESCUELAS;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3159136
2110;COLEGIO MAYOR DE ANTIOQUIA;Antioquia;Antioquia;5001;Medellín;4225252
2111;ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-;Antioquia;Antioquia;5001;Medellín;2543780
2114;ESCUELA NACIONAL DEL DEPORTE;Valle del Cauca;Valle del Cauca;76001;Cali;566411
2206;INSTITUTO DEPARTAMENTAL DE BELLAS ARTES;Valle del Cauca;Valle del Cauca;76001;Cali;4883030
2207;INSTITUTO UNIVERSITARIO DE LA PAZ;Santander;Santander;68081;Barrancabermeja;6025185
2208;CONSERVATORIO DEL TOLIMA;Tolima;Tolima;73001;Ibagué;2613118
2209;POLITECNICO COLOMBIANO JAIME ISAZA CADAVID;Antioquia;Antioquia;5001;Medellín;3105133
2211;INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR;Bolívar;Bolívar;13001;Cartagena de Indias;6600391
2301;UNIDAD CENTRAL DEL VALLE DEL CAUCA;Valle del Cauca;Valle del Cauca;76834;Tuluá;2242200
2302;INSTITUCION UNIVERSITARIA DE ENVIGADO;Antioquia;Antioquia;5266;Envigado;3391010
2701;INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA - UNICOC;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;6683535
2702;FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;4375401
2704;COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3395300
2707;FUNDACIÓN UNIVERSITARIA JUAN N. CORPAS;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;6813085
2708;UNIVERSIDAD CES;Antioquia;Antioquia;5001;Medellín;4440555
2709;FUNDACION UNIVERSITARIA SAN MARTIN;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;5301001
2710;FUNDACION UNIVERSITARIA MONSERRATE -UNIMONSERRATE;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;2494959
2711;UNIVERSIDAD CATOLICA DE PEREIRA;Risaralda;Risaralda;66001;Pereira;3124000
2712;FUNDACION UNIVERSITARIA KONRAD LORENZ;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3472311
2713;FUNDACION UNIVERSITARIA LOS LIBERTADORES;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;2544750
2715;FUNDACION UNIVERSITARIA DE POPAYAN;Cauca;Cauca;19001;Popayán;8238025
2719;UNIVERSIDAD CATÓLICA LUIS AMIGÓ;Antioquia;Antioquia;5001;Medellín;4487666
2720;FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS;Boyacá;Boyacá;15001;Tunja;7470333
2721;FUNDACION UNIVERSITARIA MARIA CANO;Antioquia;Antioquia;5001;Medellín;4025500
2722;FUNDACION CENTRO UNIVERSITARIO DE BIENESTAR RURAL;Cauca;Cauca;19573;Puerto Tejada;NA
2723;FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;6671515
2724;FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -;Santander;Santander;68679;San Gil;7245757
2725;POLITECNICO GRANCOLOMBIANO;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;7455555
2727;FUNDACION UNIVERSITARIA-CEIPA-;Antioquia;Antioquia;5631;Sabaneta;3056100
2728;FUNDACION UNIVERSITARIA DEL AREA ANDINA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3466600
2730;FUNDACION ESCUELA COLOMBIANA DE REHABILITACION;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;6270649
